,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3608,Allen,Miao,0.5166666666666667,0.269067599067599,0.5,0.4117647058823529,0.2357022603955158,GeneBio,0.1,Allen$\mapsto$Miao,0.5847750865051904,False,True
3609,Allen,Riaz,0.6560975609756098,0.513022040199614,0.358974358974359,0.5098039215686274,0.1310003738287331,GeneBio,0.1,Allen$\mapsto$Riaz,0.6847366397539408,False,True
3610,Allen,Rose,0.5950342465753424,0.2249363997368646,0.339622641509434,0.6067415730337079,0.1394191179735622,GeneBio,0.1,Allen$\mapsto$Rose,0.7050877414467871,False,True
3611,Allen,Ravi-1,0.6217105263157895,0.4581494986345279,0.5806451612903225,0.6176470588235294,0.2648231946839903,GeneBio,0.1,Allen$\mapsto$Ravi-1,0.532487504805844,True,False
3612,Allen,Ravi-2,0.3676470588235294,0.3614446027917095,0.2608695652173913,0.32,-0.3150630189063022,GeneBio,0.1,Allen$\mapsto$Ravi-2,0.5648000000000001,False,True
3613,Allen,Snyder,0.5714285714285714,0.3474428766722,0.3333333333333333,0.6190476190476191,0.0790569415042094,GeneBio,0.1,Allen$\mapsto$Snyder,0.5555555555555555,True,False
3614,Allen,Zhao,0.4090909090909091,0.4465038721640767,0.1333333333333333,0.48,-0.1670527377576658,GeneBio,0.1,Allen$\mapsto$Zhao,0.5072000000000001,False,True
3615,Choueiri,Allen,0.6390532544378699,0.4284039111363555,0.2857142857142857,0.6153846153846154,0.0449013255066937,GeneBio,0.1,Choueiri$\mapsto$Allen,0.5555555555555556,True,False
3616,Choueiri,Gide,0.8196969696969697,0.853013417847479,0.4999999999999999,0.6164383561643836,0.3481600837442631,GeneBio,0.1,Choueiri$\mapsto$Gide,0.5045974854569337,True,False
3617,Choueiri,Hugo,0.494047619047619,0.5108521307327025,0.3636363636363636,0.4615384615384615,-0.0514344499873639,GeneBio,0.1,Choueiri$\mapsto$Hugo,0.5029585798816568,False,True
