,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3504,Miao,Riaz,0.646341463414634,0.4694602612757775,0.3783783783783783,0.5490196078431373,0.168787321477648,CD8,0.1,Miao$\mapsto$Riaz,0.6847366397539408,False,True
3505,Miao,Rose,0.589041095890411,0.2215484188859352,0.3703703703703703,0.6179775280898876,0.1874350474884981,CD8,0.1,Miao$\mapsto$Rose,0.7050877414467871,False,True
3506,Miao,Ravi-1,0.6188322368421053,0.4569523918969137,0.5057471264367815,0.5784313725490197,0.1520007051855768,CD8,0.1,Miao$\mapsto$Ravi-1,0.532487504805844,True,False
3507,Miao,Ravi-2,0.3897058823529412,0.3836382002570461,0.3,0.44,-0.144174197050036,CD8,0.1,Miao$\mapsto$Ravi-2,0.5648000000000001,False,True
3508,Miao,Snyder,0.5408163265306123,0.3412250865258384,0.5,0.6190476190476191,0.2041241452319315,CD8,0.1,Miao$\mapsto$Snyder,0.5555555555555555,True,False
3509,Miao,Zhao,0.4090909090909091,0.4472861926104288,0.3999999999999999,0.52,0.0067151913668781,CD8,0.1,Miao$\mapsto$Zhao,0.5072000000000001,True,False
3510,Riaz,Allen,0.636094674556213,0.4260056683534974,0.5,0.6410256410256411,0.223606797749979,CD8,0.1,Riaz$\mapsto$Allen,0.5555555555555556,True,False
3511,Riaz,Choueiri,0.7435897435897436,0.276984126984127,0.4444444444444444,0.6875,0.289414380708153,CD8,0.1,Riaz$\mapsto$Choueiri,0.6953125,False,True
3512,Riaz,Gide,0.8204545454545454,0.8579128515612521,0.7352941176470589,0.7534246575342466,0.5466594736091016,CD8,0.1,Riaz$\mapsto$Gide,0.5045974854569337,True,False
3513,Riaz,Hugo,0.494047619047619,0.511961401364032,0.5185185185185186,0.5,0.0,CD8,0.1,Riaz$\mapsto$Hugo,0.5029585798816568,False,True
3514,Riaz,IMVigor210,0.5876598465473145,0.2730181069090543,0.356020942408377,0.587248322147651,0.0963590048699253,CD8,0.1,Riaz$\mapsto$IMVigor210,0.6477636142516103,False,True
3515,Riaz,IMmotion150,0.6962250712250712,0.4502816003444891,0.5309734513274336,0.6787878787878788,0.3028871591264774,CD8,0.1,Riaz$\mapsto$IMmotion150,0.5874380165289257,True,False
3516,Riaz,Kim,0.7727272727272727,0.6209649062885536,0.4827586206896552,0.6666666666666666,0.2556653716805367,CD8,0.1,Riaz$\mapsto$Kim,0.6088888888888889,True,False
3517,Riaz,Liu,0.5218033998521803,0.4474543782876705,0.345679012345679,0.5046728971962616,-0.0527299125696828,CD8,0.1,Riaz$\mapsto$Liu,0.5272949602585378,False,True
3518,Riaz,Freeman,0.5018939393939394,0.4638628874285559,0.4166666666666667,0.5882352941176471,0.0984848484848484,CD8,0.1,Riaz$\mapsto$Freeman,0.5432525951557093,True,False
3519,Riaz,Miao,0.5,0.2629564879564879,0.3636363636363636,0.5882352941176471,0.0635641726163728,CD8,0.1,Riaz$\mapsto$Miao,0.5847750865051904,True,False
3520,Riaz,Rose,0.589041095890411,0.2215484188859352,0.3137254901960784,0.6067415730337079,0.1023036819608936,CD8,0.1,Riaz$\mapsto$Rose,0.7050877414467871,False,True
3521,Riaz,Ravi-1,0.6188322368421053,0.4569523918969137,0.5063291139240507,0.6176470588235294,0.1954377288247769,CD8,0.1,Riaz$\mapsto$Ravi-1,0.532487504805844,True,False
3522,Riaz,Ravi-2,0.3897058823529412,0.3836382002570461,0.3157894736842105,0.48,-0.0898283738337021,CD8,0.1,Riaz$\mapsto$Ravi-2,0.5648000000000001,False,True
3523,Riaz,Snyder,0.5408163265306123,0.3412250865258384,0.5,0.6190476190476191,0.2041241452319315,CD8,0.1,Riaz$\mapsto$Snyder,0.5555555555555555,True,False
3524,Riaz,Zhao,0.4090909090909091,0.4472861926104288,0.3999999999999999,0.52,0.0067151913668781,CD8,0.1,Riaz$\mapsto$Zhao,0.5072000000000001,True,False
3525,Rose,Allen,0.636094674556213,0.4260056683534974,0.5,0.6410256410256411,0.223606797749979,CD8,0.1,Rose$\mapsto$Allen,0.5555555555555556,True,False
3526,Rose,Choueiri,0.7435897435897436,0.276984126984127,0.4444444444444444,0.6875,0.289414380708153,CD8,0.1,Rose$\mapsto$Choueiri,0.6953125,False,True
3527,Rose,Gide,0.8204545454545454,0.8579128515612521,0.7605633802816901,0.7671232876712328,0.5576027657648286,CD8,0.1,Rose$\mapsto$Gide,0.5045974854569337,True,False
3528,Rose,Hugo,0.494047619047619,0.511961401364032,0.5185185185185186,0.5,0.0,CD8,0.1,Rose$\mapsto$Hugo,0.5029585798816568,False,True
3529,Rose,IMVigor210,0.5876598465473145,0.2730181069090543,0.354679802955665,0.5604026845637584,0.0834433815385215,CD8,0.1,Rose$\mapsto$IMVigor210,0.6477636142516103,False,True
3530,Rose,IMmotion150,0.6962250712250712,0.4502816003444891,0.5128205128205128,0.6545454545454545,0.2685592936446224,CD8,0.1,Rose$\mapsto$IMmotion150,0.5874380165289257,True,False
3531,Rose,Kim,0.7727272727272727,0.6209649062885536,0.5,0.6444444444444445,0.2696799449852968,CD8,0.1,Rose$\mapsto$Kim,0.6088888888888889,True,False
3532,Rose,Liu,0.5218033998521803,0.4474543782876705,0.3571428571428571,0.4953271028037383,-0.0578987217869693,CD8,0.1,Rose$\mapsto$Liu,0.5272949602585378,False,True
3533,Rose,Freeman,0.5018939393939394,0.4638628874285559,0.4166666666666667,0.5882352941176471,0.0984848484848484,CD8,0.1,Rose$\mapsto$Freeman,0.5432525951557093,True,False
3534,Rose,Miao,0.5,0.2629564879564879,0.3636363636363636,0.5882352941176471,0.0635641726163728,CD8,0.1,Rose$\mapsto$Miao,0.5847750865051904,True,False
3535,Rose,Riaz,0.646341463414634,0.4694602612757775,0.3428571428571428,0.5490196078431373,0.1084774381916483,CD8,0.1,Rose$\mapsto$Riaz,0.6847366397539408,False,True
3536,Rose,Ravi-1,0.6188322368421053,0.4569523918969137,0.5060240963855421,0.5980392156862745,0.1729650181595261,CD8,0.1,Rose$\mapsto$Ravi-1,0.532487504805844,True,False
3537,Rose,Ravi-2,0.3897058823529412,0.3836382002570461,0.3,0.44,-0.144174197050036,CD8,0.1,Rose$\mapsto$Ravi-2,0.5648000000000001,False,True
3538,Rose,Snyder,0.5408163265306123,0.3412250865258384,0.5,0.6190476190476191,0.2041241452319315,CD8,0.1,Rose$\mapsto$Snyder,0.5555555555555555,True,False
3539,Rose,Zhao,0.4090909090909091,0.4472861926104288,0.3999999999999999,0.52,0.0067151913668781,CD8,0.1,Rose$\mapsto$Zhao,0.5072000000000001,True,False
3540,Ravi-1,Allen,0.636094674556213,0.4260056683534974,0.4666666666666667,0.5897435897435898,0.1462544848254261,CD8,0.1,Ravi-1$\mapsto$Allen,0.5555555555555556,True,False
3541,Ravi-1,Choueiri,0.7435897435897436,0.276984126984127,0.4444444444444444,0.6875,0.289414380708153,CD8,0.1,Ravi-1$\mapsto$Choueiri,0.6953125,False,True
3542,Ravi-1,Gide,0.8204545454545454,0.8579128515612521,0.7777777777777777,0.7808219178082192,0.5805497942144616,CD8,0.1,Ravi-1$\mapsto$Gide,0.5045974854569337,True,False
3543,Ravi-1,Hugo,0.494047619047619,0.511961401364032,0.5714285714285714,0.5384615384615384,0.0714285714285714,CD8,0.1,Ravi-1$\mapsto$Hugo,0.5029585798816568,True,False
3544,Ravi-1,IMVigor210,0.5876598465473145,0.2730181069090543,0.3653846153846153,0.5570469798657718,0.0969896958719859,CD8,0.1,Ravi-1$\mapsto$IMVigor210,0.6477636142516103,False,True
3545,Ravi-1,IMmotion150,0.6962250712250712,0.4502816003444891,0.5156249999999999,0.6242424242424243,0.2597209787491439,CD8,0.1,Ravi-1$\mapsto$IMmotion150,0.5874380165289257,True,False
3546,Ravi-1,Kim,0.7727272727272727,0.6209649062885536,0.5294117647058824,0.6444444444444445,0.3149896336036439,CD8,0.1,Ravi-1$\mapsto$Kim,0.6088888888888889,True,False
3547,Ravi-1,Liu,0.5218033998521803,0.4474543782876705,0.3863636363636363,0.4953271028037383,-0.0390962681919365,CD8,0.1,Ravi-1$\mapsto$Liu,0.5272949602585378,False,True
