	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Allen	Allen	0.7455621301775148	0.5681379223829807	0.5806451612903226	0.6666666666666666	0.3273268353539886
1	Allen	Choueiri	0.5897435897435898	0.20039682539682538	0.42857142857142855	0.5	0.32387513781564786
2	Allen	Gide	0.7242424242424242	0.7724287089157545	0.717948717948718	0.6986301369863014	0.39547451389050753
3	Allen	Hugo	0.41071428571428575	0.4764140756637103	0.4	0.4230769230769231	-0.14414999403128945
4	Allen	IMVigor210	0.4896419437340153	0.23978735608678908	0.3432343234323432	0.33221476510067116	-0.03180700531282236
5	Allen	IMmotion150	0.6477920227920227	0.41407719552520883	0.4607329842931937	0.37575757575757573	0.09421114395319917
6	Allen	Kim	0.6338383838383838	0.37162618822203736	0.4230769230769231	0.3333333333333333	0.05330017908890261
7	Allen	Liu	0.5857354028085735	0.4471708386453245	0.48648648648648646	0.6448598130841121	0.222904017497617
8	Allen	MGH	0.4545454545454546	0.3121401185644006	0.2105263157894737	0.5588235294117647	-0.07162870791336715
9	Allen	Miao	0.45	0.2457287157287157	0.47619047619047616	0.35294117647058826	0.1613743060919757
10	Allen	Riaz	0.5560975609756098	0.2203533268304099	0.3157894736842105	0.49019607843137253	0.05059859828854292
11	Allen	Rose	0.6241438356164384	0.25523453416844366	0.30000000000000004	0.21348314606741572	-0.01284980220975193
12	Allen	SU2CLC1	0.6114309210526315	0.5273831551570459	0.5137614678899082	0.4803921568627451	0.06829128432365814
13	Allen	SU2CLC2	0.5367647058823529	0.4848268212480673	0.48	0.48	0.10294117647058823
14	Allen	Snyder	0.6530612244897959	0.5365457147771389	0.5384615384615384	0.42857142857142855	0.22941573387056177
15	Allen	Zhao	0.5974025974025974	0.5674961930211015	0.15384615384615385	0.56	0.03564363423913181
16	Choueiri	Allen	0.5976331360946745	0.37326542673822194	0.41666666666666663	0.6410256410256411	0.16116459280507606
17	Choueiri	Choueiri	1.0	1.0	0.6666666666666666	0.8125	0.6201736729460423
18	Choueiri	Gide	0.725	0.7472040137527846	0.5846153846153846	0.6301369863013698	0.3074916850317035
19	Choueiri	Hugo	0.369047619047619	0.5012089193038008	0.2	0.38461538461538464	-0.2253744679276044
20	Choueiri	IMVigor210	0.49418158567774934	0.22583402151256882	0.35975609756097554	0.2953020134228188	-0.007883684377801651
21	Choueiri	IMmotion150	0.6420940170940171	0.385222700893985	0.509090909090909	0.509090909090909	0.23397435897435898
22	Choueiri	Kim	0.6868686868686869	0.5444905259922985	0.4583333333333333	0.4222222222222222	0.17588161767036212
23	Choueiri	Liu	0.5295639320029564	0.49560625545293435	0.2545454545454546	0.616822429906542	0.09323278564656118
24	Choueiri	MGH	0.5075757575757576	0.5028569162753147	0.15384615384615385	0.6764705882352942	0.23570226039551584
25	Choueiri	Miao	0.45	0.25148809523809523	0.5333333333333333	0.5882352941176471	0.27774602993176545
26	Choueiri	Riaz	0.6097560975609756	0.45590464638927086	0.33333333333333337	0.5294117647058824	0.08910646708599686
27	Choueiri	Rose	0.5462328767123288	0.18898086215231558	0.3076923076923077	0.19101123595505617	0.04990651285059496
28	Choueiri	SU2CLC1	0.5830592105263157	0.4568189148130285	0.5245901639344263	0.43137254901960786	0.03754696307413192
29	Choueiri	SU2CLC2	0.36764705882352944	0.258974284542539	0.3333333333333333	0.36	-0.2000816826662603
30	Choueiri	Snyder	0.7142857142857142	0.42787351537351537	0.5185185185185185	0.38095238095238093	0.15811388300841897
31	Choueiri	Zhao	0.3506493506493506	0.35616841707983304	0.14285714285714288	0.52	-0.07935196008581541
32	Gide	Allen	0.668639053254438	0.5058887293243176	0.4666666666666667	0.5897435897435898	0.14625448482542613
33	Gide	Choueiri	0.717948717948718	0.26944444444444443	0.36363636363636365	0.5625	0.16012815380508713
34	Gide	Gide	0.8075757575757575	0.8460456822892609	0.7368421052631577	0.726027397260274	0.4555099422507784
35	Gide	Hugo	0.39285714285714285	0.5320409404833981	0.2857142857142857	0.4230769230769231	-0.13379797308309913
36	Gide	IMVigor210	0.5485933503836317	0.26651551596123824	0.34306569343065696	0.3959731543624161	-0.00011616735402951422
37	Gide	IMmotion150	0.6878561253561254	0.4437209796272424	0.4804469273743017	0.43636363636363634	0.161355910680271
38	Gide	Kim	0.7348484848484848	0.44585110135083017	0.5	0.5111111111111111	0.2734819831449507
39	Gide	Liu	0.566888396156689	0.4922351822988277	0.3943661971830986	0.5981308411214953	0.10719262540104989
40	Gide	MGH	0.5568181818181818	0.4715903914110367	0.35294117647058826	0.6764705882352942	0.2146660306201108
41	Gide	Miao	0.5166666666666666	0.27779220779220776	0.47619047619047616	0.35294117647058826	0.1613743060919757
42	Gide	Riaz	0.6731707317073171	0.4241509889282974	0.35294117647058826	0.5686274509803921	0.12804555422442265
43	Gide	Rose	0.5847602739726027	0.22489434621588222	0.3	0.3707865168539326	0.032186315478935905
44	Gide	SU2CLC1	0.6229440789473684	0.5034871933550481	0.5283018867924528	0.5098039215686274	0.11470786693528089
45	Gide	SU2CLC2	0.44852941176470584	0.28618246734812725	0.380952380952381	0.48	-0.027461751819054487
46	Gide	Snyder	0.7244897959183674	0.43982862375719517	0.6363636363636364	0.6190476190476191	0.4472135954999579
47	Gide	Zhao	0.5064935064935066	0.4907239136383521	0.16666666666666669	0.6	0.23028309323591914
48	Hugo	Allen	0.39349112426035504	0.3295487294767098	0.4444444444444444	0.48717948717948717	0.036860489038724284
49	Hugo	Choueiri	0.3846153846153846	0.1427910052910053	0.0	0.5	-0.32387513781564786
