,ROC,PRC,F1,ACC,MCC,cohort,mode
0,0.6166666666666667,0.44133152264505815,0.4210526315789474,0.7608695652173914,0.2714904056752412,"Riaz
(n = 46)","NFT excluding
TMB-score(p=44)"
1,0.5703125,0.21577421628967686,0.392156862745098,0.6477272727272727,0.21890303443437284,"Rose
(n = 88)","NFT excluding
TMB-score(p=44)"
2,0.5195861049519586,0.39311510145387873,0.5,0.5700934579439252,0.13309407626666037,"Liu
(n = 107)","NFT excluding
TMB-score(p=44)"
3,0.6559272244859282,0.3441369357216411,0.4276729559748428,0.6111111111111112,0.16678455331744732,"IMVigor210
(n = 234)","NFT excluding
TMB-score(p=44)"
4,0.6166666666666667,0.43928056734154297,0.5,0.782608695652174,0.3611111111111111,"Riaz
(n = 46)","NFT including
TMB-score(p=45)"
5,0.5789930555555556,0.22238281422982492,0.4166666666666667,0.6818181818181818,0.25612535683274,"Rose
(n = 88)","NFT including
TMB-score(p=45)"
6,0.5254988913525499,0.3966521580101674,0.5217391304347826,0.5887850467289719,0.1715834442681,"Liu
(n = 107)","NFT including
TMB-score(p=45)"
7,0.6572538614611958,0.3447764261930511,0.4276729559748428,0.6111111111111112,0.16678455331744732,"IMVigor210
(n = 234)","NFT including
TMB-score(p=45)"
8,0.6527777777777778,0.44071636216023924,0.45454545454545453,0.7391304347826086,0.2870194667473602,"Riaz
(n = 46)","NFT including
actual-TMB(p=45)"
9,0.7621527777777777,0.4745118631939494,0.4680851063829787,0.7159090909090909,0.33082436254080705,"Rose
(n = 88)","NFT including
actual-TMB(p=45)"
10,0.5502586844050259,0.40104873108521105,0.5333333333333333,0.6074766355140186,0.20157463169706244,"Liu
(n = 107)","NFT including
actual-TMB(p=45)"
11,0.7399791528475315,0.49313969942558306,0.5324675324675324,0.6923076923076923,0.33331729033914026,"IMVigor210
(n = 234)","NFT including
actual-TMB(p=45)"
