	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Allen	Allen	1.0	0.9999999999999998	0.9285714285714286	0.9487179487179487	0.894427190999916	TIDE	0.1
1	Allen	Choueiri	0.46153846153846145	0.17450396825396824	0.28571428571428575	0.6875	0.09245003270420485	TIDE	0.1
2	Allen	Gide	0.6325757575757576	0.7629087002851073	0.5937499999999999	0.6438356164383562	0.34271826341881473	TIDE	0.1
3	Allen	Hugo	0.4523809523809524	0.6117529405413518	0.4444444444444445	0.4230769230769231	-0.1543033499620919	TIDE	0.1
4	Allen	IMVigor210	0.5070332480818415	0.24474638477642882	0.30917874396135264	0.5201342281879194	0.004518090745187659	TIDE	0.1
5	Allen	IMmotion150	0.49501424501424507	0.2814419106254066	0.3025210084033613	0.49696969696969695	-0.07154305146207215	TIDE	0.1
6	Allen	Kim	0.4671717171717172	0.25501480512112196	0.3529411764705882	0.5111111111111111	0.01340381419589974	TIDE	0.1
7	Allen	Liu	0.4560236511456024	0.35418139913045776	0.425531914893617	0.4953271028037383	-0.011858103292403332	TIDE	0.1
8	Allen	MGH	0.47348484848484845	0.4080948684293335	0.3125	0.35294117647058826	-0.2574643252722186	TIDE	0.1
9	Allen	Miao	0.31666666666666665	0.20891594516594517	0.15384615384615385	0.35294117647058826	-0.34993385618385614	TIDE	0.1
10	Allen	Riaz	0.5146341463414634	0.2041013591245065	0.16666666666666666	0.6078431372549019	-0.08245685919559344	TIDE	0.1
11	Allen	Rose	0.4931506849315068	0.16540936968825776	0.3448275862068965	0.5730337078651685	0.14356927194988006	TIDE	0.1
12	Allen	SU2CLC1	0.6414473684210527	0.4960329954195095	0.5925925925925927	0.6764705882352942	0.32770448556773213	TIDE	0.1
13	Allen	SU2CLC2	0.5808823529411764	0.5044581812988354	0.35294117647058826	0.56	0.021437323142813606	TIDE	0.1
14	Allen	Snyder	0.3673469387755102	0.25413717443792627	0.25	0.42857142857142855	-0.2041241452319315	TIDE	0.1
15	Allen	Zhao	0.6753246753246753	0.7357147063520582	0.5833333333333334	0.6	0.20645590963700367	TIDE	0.1
16	Choueiri	Allen	0.0	0.18893284173682584	0.0	0.3333333333333333	-0.5	TIDE	0.1
17	Choueiri	Choueiri	0.5384615384615384	0.452559015059015	0.3333333333333333	0.5	0.10087125544480041	TIDE	0.1
18	Choueiri	Gide	0.3674242424242425	0.4650191098718611	0.38095238095238093	0.4657534246575342	-0.035712215260896095	TIDE	0.1
19	Choueiri	Hugo	0.5476190476190477	0.5832588842453178	0.4	0.5384615384615384	0.14085904245475275	TIDE	0.1
20	Choueiri	IMVigor210	0.4929667519181586	0.22973995220698704	0.23529411764705882	0.6510067114093959	0.009207161125319692	TIDE	0.1
21	Choueiri	IMmotion150	0.504985754985755	0.28269843579597664	0.23655913978494625	0.5696969696969697	-0.06264820983580878	TIDE	0.1
22	Choueiri	Kim	0.5328282828282829	0.2877939057728535	0.3333333333333333	0.6444444444444445	0.09090909090909091	TIDE	0.1
23	Choueiri	Liu	0.5439763488543976	0.4985125149092787	0.36619718309859156	0.5794392523364486	0.06439556973719789	TIDE	0.1
24	Choueiri	MGH	0.5265151515151515	0.44855423354986573	0.4	0.6470588235294118	0.1706971854997297	TIDE	0.1
25	Choueiri	Miao	0.6833333333333333	0.40509462759462755	0.5454545454545454	0.7058823529411765	0.3337119062359573	TIDE	0.1
26	Choueiri	Riaz	0.4853658536585366	0.18291844141537983	0.25000000000000006	0.5294117647058824	-0.03128367136208553	TIDE	0.1
27	Choueiri	Rose	0.5068493150684932	0.1796177263202128	0.2325581395348837	0.6292134831460674	0.009297029394846971	TIDE	0.1
28	Choueiri	SU2CLC1	0.35855263157894735	0.3285650318374259	0.2535211267605634	0.4803921568627451	-0.14278282711426993	TIDE	0.1
29	Choueiri	SU2CLC2	0.4191176470588235	0.267176753606581	0.4210526315789474	0.56	0.08291849892341732	TIDE	0.1
30	Choueiri	Snyder	0.6326530612244898	0.3650635079206508	0.30769230769230765	0.5714285714285714	0.0	TIDE	0.1
31	Choueiri	Zhao	0.3246753246753247	0.4665054982347473	0.23529411764705885	0.48	-0.12075557676046031	TIDE	0.1
32	Gide	Allen	1.0	0.9999999999999998	0.8387096774193548	0.8717948717948718	0.7637626158259734	TIDE	0.1
33	Gide	Choueiri	0.46153846153846145	0.17450396825396824	0.25	0.625	0.021591675854376522	TIDE	0.1
34	Gide	Gide	0.6325757575757576	0.7629087002851073	0.5352112676056339	0.547945205479452	0.11213078873793406	TIDE	0.1
35	Gide	Hugo	0.4523809523809524	0.6117529405413518	0.5	0.46153846153846156	-0.08333333333333333	TIDE	0.1
36	Gide	IMVigor210	0.5070332480818415	0.24474638477642882	0.345679012345679	0.4664429530201342	0.0335730469456301	TIDE	0.1
37	Gide	IMmotion150	0.49501424501424507	0.2814419106254066	0.3703703703703704	0.48484848484848486	-0.008261324833872666	TIDE	0.1
38	Gide	Kim	0.4671717171717172	0.25501480512112196	0.3684210526315789	0.4666666666666667	0.00678281836362978	TIDE	0.1
39	Gide	Liu	0.4560236511456024	0.35418139913045776	0.48	0.514018691588785	0.0538239724854442	TIDE	0.1
40	Gide	MGH	0.47348484848484845	0.4080948684293335	0.3125	0.35294117647058826	-0.2574643252722186	TIDE	0.1
41	Gide	Miao	0.31666666666666665	0.20891594516594517	0.15384615384615385	0.35294117647058826	-0.34993385618385614	TIDE	0.1
42	Gide	Riaz	0.5146341463414634	0.2041013591245065	0.2	0.5294117647058824	-0.09322021169156726	TIDE	0.1
