	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Allen	Allen	0.6301775147928994	0.39654798560576815	0.38461538461538464	0.5897435897435898	0.07692307692307693	PD1	0.1
1	Allen	Choueiri	0.6666666666666666	0.23703703703703705	0.3333333333333333	0.5	0.10087125544480041	PD1	0.1
2	Allen	Gide	0.7647727272727273	0.7917499055049657	0.41509433962264153	0.5753424657534246	0.27890234677485065	PD1	0.1
3	Allen	Hugo	0.5238095238095237	0.5086113575411549	0.6428571428571429	0.6153846153846154	0.2261904761904762	PD1	0.1
4	Allen	IMVigor210	0.5416560102301791	0.25599081911930066	0.2956521739130435	0.7281879194630873	0.13766940723353963	PD1	0.1
5	Allen	IMmotion150	0.6301638176638177	0.4112163553080204	0.46153846153846156	0.6181818181818182	0.18740126534542337	PD1	0.1
6	Allen	Kim	0.7525252525252526	0.4853138051798854	0.5128205128205128	0.5777777777777777	0.28721347895177635	PD1	0.1
7	Allen	Liu	0.4902069475240207	0.42007532040298645	0.18867924528301888	0.5981308411214953	0.024482295400681982	PD1	0.1
8	Allen	MGH	0.4507575757575758	0.42945622131981154	0.26666666666666666	0.6764705882352942	0.20422388828466229	PD1	0.1
9	Allen	Miao	0.3333333333333333	0.21193695193695195	0.16666666666666666	0.4117647058823529	-0.27774602993176545	PD1	0.1
10	Allen	Riaz	0.6524390243902439	0.3999407048058288	0.3448275862068966	0.6274509803921569	0.13018760532489668	PD1	0.1
11	Allen	Rose	0.6374143835616439	0.31017304395900314	0.3283582089552239	0.4943820224719101	0.10834011610150782	PD1	0.1
12	Allen	SU2CLC1	0.6480263157894737	0.5188059462968262	0.5684210526315789	0.5980392156862745	0.23542460805046614	PD1	0.1
13	Allen	SU2CLC2	0.4889705882352941	0.298865368914711	0.3157894736842105	0.48	-0.0898283738337021	PD1	0.1
14	Allen	Snyder	0.5816326530612245	0.4837175254717272	0.5384615384615384	0.42857142857142855	0.22941573387056177	PD1	0.1
15	Allen	Zhao	0.525974025974026	0.4903387976519836	0.380952380952381	0.48	-0.0657951694959769	PD1	0.1
16	Choueiri	Allen	0.6301775147928994	0.39654798560576815	0.3636363636363637	0.6410256410256411	0.12909944487358055	PD1	0.1
17	Choueiri	Choueiri	0.6666666666666666	0.23703703703703705	0.4	0.625	0.2219167619785609	PD1	0.1
18	Choueiri	Gide	0.7647727272727273	0.7917499055049657	0.18181818181818182	0.5068493150684932	0.21869176243407462	PD1	0.1
19	Choueiri	Hugo	0.5238095238095237	0.5086113575411549	0.2857142857142857	0.4230769230769231	-0.13379797308309913	PD1	0.1
20	Choueiri	IMVigor210	0.5416560102301791	0.25599081911930066	0.06818181818181818	0.7248322147651006	-0.04997239297466864	PD1	0.1
21	Choueiri	IMmotion150	0.6301638176638177	0.4112163553080204	0.35714285714285715	0.6727272727272727	0.14627191482641053	PD1	0.1
22	Choueiri	Kim	0.7525252525252526	0.4853138051798854	0.5	0.6888888888888889	0.2869449118648753	PD1	0.1
23	Choueiri	Liu	0.4902069475240207	0.42007532040298645	0.13043478260869565	0.6261682242990654	0.09874361099110801	PD1	0.1
24	Choueiri	MGH	0.4507575757575758	0.42945622131981154	0.0	0.6470588235294118	0.0	PD1	0.1
25	Choueiri	Miao	0.3333333333333333	0.21193695193695195	0.0	0.5882352941176471	-0.23570226039551584	PD1	0.1
26	Choueiri	Riaz	0.6524390243902439	0.3999407048058288	0.5	0.803921568627451	0.3780487804878049	PD1	0.1
27	Choueiri	Rose	0.6374143835616439	0.31017304395900314	0.3846153846153846	0.6404494382022472	0.21033863029147803	PD1	0.1
28	Choueiri	SU2CLC1	0.6480263157894737	0.5188059462968262	0.5526315789473685	0.6666666666666666	0.2870065789473684	PD1	0.1
29	Choueiri	SU2CLC2	0.4889705882352941	0.298865368914711	0.26666666666666666	0.56	-0.045834924851410566	PD1	0.1
30	Choueiri	Snyder	0.5816326530612245	0.4837175254717272	0.56	0.47619047619047616	0.28867513459481287	PD1	0.1
31	Choueiri	Zhao	0.525974025974026	0.4903387976519836	0.15384615384615385	0.56	0.03564363423913181	PD1	0.1
32	Gide	Allen	0.6301775147928994	0.39654798560576815	0.5555555555555555	0.5897435897435898	0.25802342327107003	PD1	0.1
33	Gide	Choueiri	0.6666666666666666	0.23703703703703705	0.4	0.4375	0.2773500981126145	PD1	0.1
34	Gide	Gide	0.7647727272727273	0.7917499055049657	0.6666666666666665	0.6712328767123288	0.3586642707712381	PD1	0.1
35	Gide	Hugo	0.5238095238095237	0.5086113575411549	0.7058823529411764	0.6153846153846154	0.2253744679276044	PD1	0.1
36	Gide	IMVigor210	0.5416560102301791	0.25599081911930066	0.3253588516746411	0.5268456375838926	0.02923621471894925	PD1	0.1
37	Gide	IMmotion150	0.6301638176638177	0.4112163553080204	0.47560975609756095	0.47878787878787876	0.15345410595273679	PD1	0.1
38	Gide	Kim	0.7525252525252526	0.4853138051798854	0.43999999999999995	0.37777777777777777	0.12016450333006204	PD1	0.1
39	Gide	Liu	0.4902069475240207	0.42007532040298645	0.39506172839506176	0.5420560747663551	0.026736293697304004	PD1	0.1
40	Gide	MGH	0.4507575757575758	0.42945622131981154	0.23529411764705882	0.6176470588235294	0.04088876773716397	PD1	0.1
41	Gide	Miao	0.3333333333333333	0.21193695193695195	0.5	0.4117647058823529	0.23570226039551584	PD1	0.1
42	Gide	Riaz	0.6524390243902439	0.3999407048058288	0.3157894736842105	0.49019607843137253	0.05059859828854292	PD1	0.1
