	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Allen	Allen	0.9319526627218935	0.9298511791145163	0.8695652173913044	0.9230769230769231	0.8304547985373997
1	Allen	Choueiri	0.41025641025641024	0.14763107263107264	0.0	0.75	-0.12403473458920847
2	Allen	Gide	0.8128787878787879	0.847733343822624	0.625	0.6712328767123288	0.401309441942406
3	Allen	Hugo	0.5416666666666667	0.5743605931328274	0.5	0.5384615384615384	0.09759000729485333
4	Allen	IMVigor210	0.6360613810741688	0.42891612967393666	0.39416058394160586	0.7214765100671141	0.21335478989053264
5	Allen	IMmotion150	0.6800213675213675	0.439902198827386	0.2727272727272727	0.7090909090909091	0.16109539672065115
6	Allen	Kim	0.6666666666666666	0.6121509887532586	0.4242424242424242	0.5777777777777777	0.14101901870444156
7	Allen	Liu	0.6699926090169992	0.5576034035682614	0.24489795918367344	0.6542056074766355	0.21448807976179826
8	Allen	MGH	0.5075757575757576	0.33275491732667584	0.2222222222222222	0.5882352941176471	-0.018993429409939658
9	Allen	Miao	0.5333333333333334	0.2879564879564879	0.0	0.6470588235294118	-0.1613743060919757
10	Allen	Riaz	0.5804878048780487	0.20397733880107657	0.2105263157894737	0.7058823529411765	0.030481997123947505
11	Allen	Rose	0.6815068493150684	0.2877811208777842	0.42424242424242425	0.7865168539325843	0.29355872053354043
12	Allen	SU2CLC1	0.7602796052631579	0.7023372586899274	0.22727272727272727	0.6666666666666666	0.23826271228580748
13	Allen	SU2CLC2	0.7205882352941176	0.664932308784211	0.2222222222222222	0.72	0.2975595178559521
14	Allen	Snyder	0.29591836734693877	0.23351383339497006	0.0	0.6666666666666666	0.0
15	Allen	Zhao	0.6883116883116883	0.5864914126277763	0.0	0.56	0.0
16	Choueiri	Allen	0.6597633136094675	0.41190407040151283	0.0	0.6666666666666666	0.0
17	Choueiri	Choueiri	1.0	1.0	1.0	1.0	1.0
18	Choueiri	Gide	0.7363636363636364	0.7402801563976962	0.0	0.4520547945205479	0.0
19	Choueiri	Hugo	0.4107142857142857	0.5100028788085728	0.0	0.46153846153846156	0.0
20	Choueiri	IMVigor210	0.47896419437340154	0.20995902811882022	0.0	0.7718120805369127	0.0
21	Choueiri	IMmotion150	0.6805555555555556	0.47200317806041736	0.43181818181818177	0.696969696969697	0.22928609941428063
22	Choueiri	Kim	0.6338383838383839	0.35955207614756607	0.0	0.7333333333333333	0.0
23	Choueiri	Liu	0.5354767184035477	0.4819809385694134	0.0	0.616822429906542	0.0
24	Choueiri	MGH	0.43939393939393945	0.3760583225874477	0.0	0.6470588235294118	0.0
25	Choueiri	Miao	0.3833333333333333	0.2260729548229548	0.0	0.5294117647058824	-0.29880715233359845
26	Choueiri	Riaz	0.5341463414634147	0.32317716991249124	0.0	0.803921568627451	0.0
27	Choueiri	Rose	0.5214041095890412	0.1802181223418724	0.0	0.8202247191011236	0.0
28	Choueiri	SU2CLC1	0.5867598684210527	0.4351461940834903	0.0	0.6274509803921569	0.0
29	Choueiri	SU2CLC2	0.27941176470588236	0.2576125048911805	0.0	0.68	0.0
30	Choueiri	Snyder	0.653061224489796	0.379196299732014	0.0	0.6666666666666666	0.0
31	Choueiri	Zhao	0.33766233766233766	0.3500487279403443	0.0	0.56	0.0
32	Gide	Allen	0.7485207100591715	0.640500850485193	0.6285714285714286	0.6666666666666666	0.40219983326992187
33	Gide	Choueiri	0.5128205128205128	0.17496947496947496	0.26666666666666666	0.3125	-0.09245003270420485
34	Gide	Gide	0.931060606060606	0.9475003710538216	0.8674698795180723	0.8493150684931506	0.6958314080058436
35	Gide	Hugo	0.3809523809523809	0.4590573949224652	0.5714285714285714	0.4230769230769231	-0.2559939058231545
36	Gide	IMVigor210	0.6156649616368286	0.32287694190222105	0.37158469945355194	0.22818791946308725	0.0
37	Gide	IMmotion150	0.6873219373219372	0.520731914584559	0.5030674846625767	0.509090909090909	0.21908965905948288
38	Gide	Kim	0.7575757575757576	0.6172472885220344	0.4210526315789474	0.26666666666666666	0.0
39	Gide	Liu	0.6300813008130081	0.5356156108023227	0.5454545454545454	0.6261682242990654	0.23204359176880865
40	Gide	MGH	0.5606060606060606	0.44402980456084656	0.3	0.5882352941176471	0.02560457782495946
41	Gide	Miao	0.3666666666666667	0.22051767676767675	0.47619047619047616	0.35294117647058826	0.1613743060919757
42	Gide	Riaz	0.648780487804878	0.35962804735761145	0.38095238095238093	0.49019607843137253	0.17625398874755244
43	Gide	Rose	0.6506849315068493	0.38180071803801824	0.30476190476190473	0.1797752808988764	0.0
44	Gide	SU2CLC1	0.645970394736842	0.5074786451484888	0.5428571428571428	0.37254901960784315	0.0
45	Gide	SU2CLC2	0.6102941176470589	0.4514726957983537	0.48484848484848486	0.32	0.0
46	Gide	Snyder	0.6326530612244897	0.659305452950411	0.5	0.3333333333333333	0.0
47	Gide	Zhao	0.6558441558441558	0.6226132164763328	0.16666666666666669	0.6	0.23028309323591914
48	Hugo	Allen	0.44970414201183434	0.28511560972955285	0.47058823529411764	0.3076923076923077	-0.22941573387056177
49	Hugo	Choueiri	0.23076923076923075	0.12093253968253967	0.14285714285714288	0.25	-0.3670584895244009
50	Hugo	Gide	0.34924242424242424	0.4713783614554229	0.6964285714285714	0.5342465753424658	-0.10704360482220941
51	Hugo	Hugo	0.9940476190476191	0.9950680272108843	0.9333333333333333	0.9230769230769231	0.8539125638299666
52	Hugo	IMVigor210	0.5519820971867008	0.24482516582776517	0.3255813953488372	0.610738255033557	0.07160629483056791
