	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Allen	Allen	0.9615384615384616	0.956143984220907	0.888888888888889	0.9230769230769231	0.8315218406203
1	Allen	Choueiri	0.30769230769230765	0.13000194250194252	0.0	0.375	-0.4236592728681617
2	Allen	Gide	0.7621212121212122	0.804398477690302	0.6176470588235295	0.6438356164383562	0.3202416490788071
3	Allen	Hugo	0.5297619047619047	0.5485848314951804	0.56	0.5769230769230769	0.16817499303650435
4	Allen	IMVigor210	0.5888107416879795	0.30699748390030845	0.16666666666666669	0.7651006711409396	0.11880305851287332
5	Allen	IMmotion150	0.6504629629629629	0.45285964801727263	0.4	0.7090909090909091	0.22581600205109573
6	Allen	Kim	0.7146464646464646	0.6769440868149379	0.39999999999999997	0.4	0.022727272727272728
7	Allen	Liu	0.6393200295639319	0.535245825685621	0.5526315789473684	0.6822429906542056	0.3109509319110263
8	Allen	MGH	0.5113636363636364	0.4397559088711578	0.3333333333333333	0.6470588235294118	0.14245072057454744
9	Allen	Miao	0.6166666666666667	0.36761363636363636	0.4444444444444445	0.7058823529411765	0.25064020591380154
10	Allen	Riaz	0.6268292682926829	0.2532048377027168	0.3333333333333333	0.6862745098039216	0.13887471022415737
11	Allen	Rose	0.6857876712328766	0.3864478024655663	0.4	0.7303370786516854	0.2429909635350188
12	Allen	SU2CLC1	0.7495888157894737	0.6507515913289684	0.49122807017543857	0.7156862745098039	0.36050149417675725
13	Allen	SU2CLC2	0.6838235294117647	0.5585044642857142	0.4615384615384615	0.72	0.3001225239993905
14	Allen	Snyder	0.4081632653061224	0.2671021438878582	0.0	0.5714285714285714	-0.22941573387056177
15	Allen	Zhao	0.8831168831168831	0.8871065802883985	0.16666666666666669	0.6	0.23028309323591914
16	Choueiri	Allen	0.5857988165680473	0.3725440451140321	0.0	0.6666666666666666	0.0
17	Choueiri	Choueiri	1.0	1.0	1.0	1.0	1.0
18	Choueiri	Gide	0.7007575757575758	0.6827954503971989	0.0	0.4520547945205479	0.0
19	Choueiri	Hugo	0.26785714285714285	0.5019095274209282	0.0	0.46153846153846156	0.0
20	Choueiri	IMVigor210	0.4597186700767263	0.20984688434123014	0.0	0.761744966442953	-0.05483276645475584
21	Choueiri	IMmotion150	0.5512820512820513	0.3218615829179192	0.2285714285714286	0.6727272727272727	0.06280742930213278
22	Choueiri	Kim	0.4318181818181818	0.21743011118202563	0.0	0.7111111111111111	-0.09090909090909091
23	Choueiri	Liu	0.5133037694013304	0.39193589481986546	0.0	0.616822429906542	0.0
24	Choueiri	MGH	0.45833333333333337	0.38387281588098127	0.0	0.6470588235294118	0.0
25	Choueiri	Miao	0.6000000000000001	0.31934065934065936	0.0	0.7058823529411765	0.0
26	Choueiri	Riaz	0.526829268292683	0.27980626177994605	0.0	0.803921568627451	0.0
27	Choueiri	Rose	0.40239726027397266	0.13981407631186615	0.0	0.7415730337078652	-0.13678568671298275
28	Choueiri	SU2CLC1	0.4609375	0.3346391527931533	0.0	0.6274509803921569	0.0
29	Choueiri	SU2CLC2	0.34558823529411764	0.25265459115001454	0.0	0.68	0.0
30	Choueiri	Snyder	0.6122448979591837	0.46740650805776857	0.0	0.6666666666666666	0.0
31	Choueiri	Zhao	0.36363636363636365	0.3495295285444455	0.0	0.56	0.0
32	Gide	Allen	0.6893491124260356	0.5261031095892399	0.5	0.5897435897435898	0.18136906252750293
33	Gide	Choueiri	0.7179487179487178	0.5441919191919191	0.4	0.4375	0.2773500981126145
34	Gide	Gide	0.9787878787878788	0.9828115228838658	0.9113924050632911	0.9041095890410958	0.8072583112472399
35	Gide	Hugo	0.3333333333333333	0.4166512578571618	0.6666666666666665	0.5384615384615384	0.03289758474798845
36	Gide	IMVigor210	0.6452685421994885	0.32677563174128116	0.4161073825503355	0.7080536912751678	0.22496661883485458
37	Gide	IMmotion150	0.6461894586894587	0.4130029529267831	0.48951048951048953	0.5575757575757576	0.19881626267542124
38	Gide	Kim	0.7828282828282829	0.6769385512846896	0.489795918367347	0.4444444444444444	0.28039985489311264
39	Gide	Liu	0.6681448632668147	0.6188742224153934	0.547945205479452	0.6915887850467289	0.3249083104501277
40	Gide	MGH	0.678030303030303	0.5710217604311102	0.5185185185185186	0.6176470588235294	0.21144800897557345
41	Gide	Miao	0.4166666666666667	0.23915917415917415	0.37499999999999994	0.4117647058823529	-0.06356417261637282
42	Gide	Riaz	0.5878048780487805	0.30183180511940244	0.41860465116279066	0.5098039215686274	0.2613993837824278
43	Gide	Rose	0.610445205479452	0.31681936765147967	0.3478260869565218	0.4943820224719101	0.1473710148539018
44	Gide	SU2CLC1	0.7142269736842105	0.637334003324136	0.5858585858585859	0.5980392156862745	0.2595023785225254
45	Gide	SU2CLC2	0.5735294117647058	0.3517039691810859	0.5217391304347827	0.56	0.2100420126042015
46	Gide	Snyder	0.6326530612244898	0.5347779462662258	0.43478260869565216	0.38095238095238093	-0.07905694150420949
47	Gide	Zhao	0.7012987012987013	0.6503818692748898	0.16666666666666669	0.6	0.23028309323591914
48	Hugo	Allen	0.4704142011834319	0.29002180195606164	0.47826086956521735	0.38461538461538464	0.0
49	Hugo	Choueiri	0.1282051282051282	0.1081536519036519	0.0	0.25	-0.5447047794019222
50	Hugo	Gide	0.36363636363636365	0.4424059825850868	0.6972477064220184	0.547945205479452	0.023194580864220035
51	Hugo	Hugo	0.9821428571428572	0.9854755363683934	0.9333333333333333	0.9230769230769231	0.8539125638299666
52	Hugo	IMVigor210	0.5031969309462916	0.2274736597443306	0.15384615384615383	0.7046979865771812	-0.005269382242701642
