,loo_sample,feature,exvar
0,0,Adipocyte,0.0012891340413370145
1,0,Apoptosis_pathway,0.03490622435260815
2,0,Bcell,0.0022631781482287394
3,0,CD4_Tcell,0.0002906119851993072
4,0,CD8_Tcell,0.16320269112496588
5,0,CPI_Response,0.06844328867833116
6,0,CPI_effect,0.0082589045416821
7,0,Cytokine_chemokine,0.010807855450607806
8,0,Cytotoxic_Tcell,0.012018062007225994
9,0,Endothelial,0.026331767484737978
10,0,Epithelial,0.02300336301136796
11,0,Erythrocyte,0.009791099930124725
12,0,Exhausted_Tcell,0.04593835112902456
13,0,Fibroblast,0.00863721650478877
14,0,Granulocyte,0.023752713443795148
15,0,Hepatocyte,0.015927611280159515
16,0,IFNg_pathway,0.14067381706508908
17,0,Immune_checkpoint,0.01964387167284365
18,0,Immune_score,0.04516101787755311
19,0,Innate_lymphoid_cell,0.0003578608684817741
20,0,Macrophage,0.02476706247271776
21,0,Mast,0.001862557968209444
22,0,Memory_Tcell,0.016000869821900077
23,0,Mesothelial,0.03694240700484486
24,0,Monocyte,0.002264205056315638
25,0,Myeloid,0.06752534220955175
26,0,NKcell,0.03282721813985068
27,0,Naive_Tcell,0.013539778503771638
28,0,Neutrophil,0.0035645029929347594
29,0,OS_effect,0.000288051052468985
30,0,PLFcell,0.0073082308555232345
31,0,Pancreatic,0.03427374075441203
32,0,Platelet,0.024936687281182257
33,0,Pneumocyte,0.033637802947565354
34,0,Stem,0.01919933101726179
35,0,Stroma,0.0005824160169406456
36,0,TGFb_pathway,0.06863619793871789
37,0,TLS,0.008536161706738432
38,0,TMB,0.11078696824001033
39,0,Tcell_exclusion,0.04309373787552073
40,0,Tcell_general,9.85591502744576e-07
41,0,Treg,0.0021229844337945503
42,0,cDC,0.003317683942511973
43,0,pDC,0.0015179848202634405
44,0,Reference,0.042509469065118655
45,1,Adipocyte,0.0012780663204391418
46,1,Apoptosis_pathway,0.03453932127689752
47,1,Bcell,0.002307106832178274
48,1,CD4_Tcell,0.0004580539660068439
49,1,CD8_Tcell,0.16230648624868937
50,1,CPI_Response,0.0683247796892511
51,1,CPI_effect,0.008213762815048264
52,1,Cytokine_chemokine,0.011081556258406122
53,1,Cytotoxic_Tcell,0.011684194213083643
54,1,Endothelial,0.027165792934087496
55,1,Epithelial,0.023125241874236813
56,1,Erythrocyte,0.01030458164238024
57,1,Exhausted_Tcell,0.0448665876757145
58,1,Fibroblast,0.008744232461662338
59,1,Granulocyte,0.024551353705740797
60,1,Hepatocyte,0.015959993284548446
61,1,IFNg_pathway,0.14021554088071397
62,1,Immune_checkpoint,0.018999272290793456
63,1,Immune_score,0.045752386172900894
64,1,Innate_lymphoid_cell,0.00037656169458766264
65,1,Macrophage,0.025792345453352516
66,1,Mast,0.0021345571285967813
67,1,Memory_Tcell,0.015652920777198154
68,1,Mesothelial,0.037754797500610726
69,1,Monocyte,0.0018912866585105714
70,1,Myeloid,0.06709667380104023
71,1,NKcell,0.0333681906623694
72,1,Naive_Tcell,0.013458490188005823
73,1,Neutrophil,0.003319610580506782
74,1,OS_effect,0.00021443706273172047
75,1,PLFcell,0.007313499483158736
76,1,Pancreatic,0.03533678229169612
77,1,Platelet,0.02492018614556779
78,1,Pneumocyte,0.03263629986019101
79,1,Stem,0.018889027207141806
80,1,Stroma,0.00043182384234430327
81,1,TGFb_pathway,0.06732555838021048
82,1,TLS,0.008738834776591431
83,1,TMB,0.1090878873707668
84,1,Tcell_exclusion,0.042601250952567615
85,1,Tcell_general,7.981863148209811e-08
86,1,Treg,0.0019804184181105855
87,1,cDC,0.00355041170062087
88,1,pDC,0.0019246705451887447
89,1,Reference,0.04091807943829906
90,2,Adipocyte,0.0010483437914493576
91,2,Apoptosis_pathway,0.035033346900340545
92,2,Bcell,0.002759151059954501
93,2,CD4_Tcell,0.0003316220702047623
94,2,CD8_Tcell,0.16486113927841384
95,2,CPI_Response,0.06994888587487036
96,2,CPI_effect,0.008459962886197103
97,2,Cytokine_chemokine,0.010937755127236937
98,2,Cytotoxic_Tcell,0.012794852157849923
99,2,Endothelial,0.026626463375277076
100,2,Epithelial,0.023784526053716504
101,2,Erythrocyte,0.010748441722758684
102,2,Exhausted_Tcell,0.047976920007697155
103,2,Fibroblast,0.008225417087437292
104,2,Granulocyte,0.025617436640331448
105,2,Hepatocyte,0.015878774568036103
106,2,IFNg_pathway,0.14652164494155406
107,2,Immune_checkpoint,0.018590678679494044
108,2,Immune_score,0.04596076058994103
109,2,Innate_lymphoid_cell,0.00039771382168540814
110,2,Macrophage,0.024712248906567313
111,2,Mast,0.0021170302199744473
112,2,Memory_Tcell,0.015402264458587722
113,2,Mesothelial,0.03698854619391745
114,2,Monocyte,0.002203239328947282
115,2,Myeloid,0.06648091989690941
116,2,NKcell,0.03237056485724077
117,2,Naive_Tcell,0.013525631939489968
118,2,Neutrophil,0.003101815758609461
119,2,OS_effect,0.00035070965509054197
120,2,PLFcell,0.007729653568900541
121,2,Pancreatic,0.03464390743868406
122,2,Platelet,0.025229541109460185
123,2,Pneumocyte,0.03215064248850963
124,2,Stem,0.018805205594378704
125,2,Stroma,0.0006319303819416477
126,2,TGFb_pathway,0.07013530220773423
127,2,TLS,0.008592949014727624
128,2,TMB,0.1126914716884847
129,2,Tcell_exclusion,0.04225990364903476
130,2,Tcell_general,1.861858455198817e-05
131,2,Treg,0.002094731894758173
132,2,cDC,0.003809770262881651
133,2,pDC,0.0010882705429813289
134,2,Reference,0.04187321709235037
135,3,Adipocyte,0.001041711241329013
