	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Allen	Allen	0.6005917159763314	0.3809956593714955	0.4375	0.5384615384615384	0.07254762501100116	Texh	0.1
1	Allen	Choueiri	0.8205128205128205	0.625	0.4615384615384615	0.5625	0.3721042037676254	Texh	0.1
2	Allen	Gide	0.6674242424242424	0.7139925727400414	0.65	0.6164383561643836	0.22575757575757577	Texh	0.1
3	Allen	Hugo	0.43452380952380953	0.6168089927745379	0.4444444444444445	0.4230769230769231	-0.1543033499620919	Texh	0.1
4	Allen	IMVigor210	0.4175191815856778	0.19585189652914037	0.2512077294685991	0.4798657718120805	-0.09165269797380679	Texh	0.1
5	Allen	IMmotion150	0.4396367521367521	0.2470596240012594	0.2926829268292683	0.4727272727272727	-0.10232343558582008	Texh	0.1
6	Allen	Kim	0.6641414141414141	0.371504892265229	0.4375	0.6	0.16854996561581054	Texh	0.1
7	Allen	Liu	0.49519586104951957	0.3881294284100959	0.4042553191489362	0.4766355140186916	-0.05030710487686262	Texh	0.1
8	Allen	MGH	0.375	0.2785676989571777	0.2962962962962963	0.4411764705882353	-0.1604088343952626	Texh	0.1
9	Allen	Miao	0.5833333333333333	0.4719155844155844	0.3333333333333333	0.5294117647058824	-0.015430334996209192	Texh	0.1
10	Allen	Riaz	0.4951219512195122	0.17717673318251165	0.21621621621621623	0.43137254901960786	-0.12804555422442265	Texh	0.1
11	Allen	Rose	0.4691780821917808	0.17799208324103005	0.23728813559322032	0.4943820224719101	-0.04276404635368257	Texh	0.1
12	Allen	SU2CLC1	0.4872532894736842	0.3419210895630156	0.40476190476190477	0.5098039215686274	-0.005593367067227166	Texh	0.1
13	Allen	SU2CLC2	0.40441176470588236	0.2581471797251596	0.36363636363636365	0.44	-0.08291849892341732	Texh	0.1
14	Allen	Snyder	0.5408163265306123	0.3169956094325842	0.5	0.5238095238095238	0.1386750490563073	Texh	0.1
15	Allen	Zhao	0.5064935064935066	0.49429993796536464	0.5	0.6	0.17459497553883238	Texh	0.1
16	Choueiri	Allen	0.6005917159763314	0.3809956593714955	0.4666666666666667	0.5897435897435898	0.14625448482542613	Texh	0.1
17	Choueiri	Choueiri	0.8205128205128205	0.625	0.4	0.625	0.2219167619785609	Texh	0.1
18	Choueiri	Gide	0.6674242424242424	0.7139925727400414	0.64	0.6301369863013698	0.2656622688730127	Texh	0.1
19	Choueiri	Hugo	0.43452380952380953	0.6168089927745379	0.43478260869565216	0.5	0.02494937295217066	Texh	0.1
20	Choueiri	IMVigor210	0.4175191815856778	0.19585189652914037	0.21978021978021978	0.5234899328859061	-0.09893689893913889	Texh	0.1
21	Choueiri	IMmotion150	0.4396367521367521	0.2470596240012594	0.23076923076923075	0.5151515151515151	-0.12092398358512692	Texh	0.1
22	Choueiri	Kim	0.6641414141414141	0.371504892265229	0.4444444444444445	0.6666666666666666	0.21320071635561041	Texh	0.1
23	Choueiri	Liu	0.49519586104951957	0.3881294284100959	0.40449438202247195	0.5046728971962616	-0.015171858016031253	Texh	0.1
24	Choueiri	MGH	0.375	0.2785676989571777	0.2962962962962963	0.4411764705882353	-0.1604088343952626	Texh	0.1
25	Choueiri	Miao	0.5833333333333333	0.4719155844155844	0.4444444444444445	0.7058823529411765	0.25064020591380154	Texh	0.1
26	Choueiri	Riaz	0.4951219512195122	0.17717673318251165	0.25000000000000006	0.5294117647058824	-0.03128367136208553	Texh	0.1
27	Choueiri	Rose	0.4691780821917808	0.17799208324103005	0.18181818181818182	0.5955056179775281	-0.06513620813605094	Texh	0.1
28	Choueiri	SU2CLC1	0.4872532894736842	0.3419210895630156	0.4155844155844156	0.5588235294117647	0.06136304403562384	Texh	0.1
29	Choueiri	SU2CLC2	0.40441176470588236	0.2581471797251596	0.4	0.52	0.027461751819054487	Texh	0.1
30	Choueiri	Snyder	0.5408163265306123	0.3169956094325842	0.5263157894736842	0.5714285714285714	0.2041241452319315	Texh	0.1
31	Choueiri	Zhao	0.5064935064935066	0.49429993796536464	0.23529411764705885	0.48	-0.12075557676046031	Texh	0.1
32	Gide	Allen	0.6005917159763314	0.3809956593714955	0.4242424242424242	0.5128205128205128	0.03627381250550058	Texh	0.1
33	Gide	Choueiri	0.8205128205128205	0.625	0.4615384615384615	0.5625	0.3721042037676254	Texh	0.1
34	Gide	Gide	0.6674242424242424	0.7139925727400414	0.6666666666666667	0.6301369863013698	0.2515209186976267	Texh	0.1
35	Gide	Hugo	0.43452380952380953	0.6168089927745379	0.42857142857142855	0.38461538461538464	-0.23809523809523808	Texh	0.1
36	Gide	IMVigor210	0.4175191815856778	0.19585189652914037	0.24884792626728108	0.45302013422818793	-0.11194627867626022	Texh	0.1
37	Gide	IMmotion150	0.4396367521367521	0.2470596240012594	0.33576642335766427	0.4484848484848485	-0.07739324028854203	Texh	0.1
38	Gide	Kim	0.6641414141414141	0.371504892265229	0.4117647058823529	0.5555555555555556	0.11393242066514779	Texh	0.1
39	Gide	Liu	0.49519586104951957	0.3881294284100959	0.4000000000000001	0.4672897196261682	-0.06503989987651525	Texh	0.1
40	Gide	MGH	0.375	0.2785676989571777	0.2962962962962963	0.4411764705882353	-0.1604088343952626	Texh	0.1
41	Gide	Miao	0.5833333333333333	0.4719155844155844	0.42857142857142855	0.5294117647058824	0.09128709291752769	Texh	0.1
42	Gide	Riaz	0.4951219512195122	0.17717673318251165	0.2631578947368421	0.45098039215686275	-0.04865249835436819	Texh	0.1
