Index,CANCER,Adipocyte,Apoptosis_pathway,Bcell,CD4_Tcell,CD8_Tcell,CPI_Response,CPI_effect,Cytokine_chemokine,Cytotoxic_Tcell,Endothelial,Epithelial,Erythrocyte,Exhausted_Tcell,Fibroblast,Granulocyte,Hepatocyte,IFNg_pathway,Immune_checkpoint,Immune_score,Innate_lymphoid_cell,Macrophage,Mast,Memory_Tcell,Mesothelial,Monocyte,Myeloid,NKcell,Naive_Tcell,Neutrophil,OS_effect,PLFcell,Pancreatic,Platelet,Pneumocyte,Stem,Stroma,TGFb_pathway,TLS,TMB,Tcell_exclusion,Tcell_general,Treg,cDC,pDC
IMVigor210-0257bb-ar-0257bbb,0.012054967693984509,0.03229226544499397,0.04340729862451553,0.00928870402276516,0.00027191208209842443,0.00725536746904254,0.039710864424705505,-0.03751469403505325,0.0031616187188774347,-3.695521809277125e-05,-0.021423887461423874,-0.06948436796665192,0.0008375297766178846,0.0018173449207097292,0.000780187314376235,0.05043891444802284,-0.002332089701667428,0.004348487593233585,0.003185007255524397,-0.0003733237972483039,-0.0006926138885319233,-0.023779945448040962,0.0051533556543290615,-0.01005957368761301,-0.027674304321408272,0.016747331246733665,-0.02033359929919243,0.011255967430770397,-0.03294022008776665,-0.011876394040882587,-0.0019070298876613379,0.004660528618842363,-0.002526527736335993,-0.008397829718887806,0.003147912211716175,-0.010419937781989574,0.061802417039871216,0.006824362091720104,-0.0020413240417838097,0.09150519967079163,0.0006511727115139365,-0.006420512683689594,-0.02076578512787819,-0.004291391000151634,0.0025899726897478104
IMVigor210-025b45-ar-025b45c,0.001380833680741489,0.0010693196672946215,0.004529343917965889,0.0010065961396321654,-0.007226907182484865,0.000574667879845947,0.005511696450412273,-0.0037233426701277494,0.0031392485834658146,-3.699104127008468e-05,-0.0027336198836565018,-0.004221784882247448,-0.00014152690710034221,-0.0004842548514716327,-2.101800600939896e-05,0.004206130281090736,-0.00023996214440558106,0.0009244499378837645,0.000913198571652174,-0.00016592330939602107,0.00019907743262592703,-0.0028114919550716877,0.00041445466922596097,-0.001928246463648975,0.002424567472189665,0.0032644502352923155,-0.0022522646468132734,-0.0007558576762676239,-0.0048776185140013695,-0.0014112073695287108,-8.973428339231759e-05,-0.005555220413953066,0.0008186978520825505,0.0008447920554317534,0.0001075282707461156,-0.0011658722069114447,0.008893636055290699,-0.0026554856449365616,-0.000175557637703605,0.007120130583643913,8.270858961623162e-05,-0.000907944340724498,-0.0026862253434956074,-0.00036976789124310017,0.002490073209628463
IMVigor210-032c64-ar-032c642,0.0028072898276150227,-0.0014464695705100894,0.011389090679585934,0.0027526470366865396,0.0030115251429378986,0.0014453519834205508,0.015885593369603157,0.010863950476050377,-0.014672515913844109,7.809290400473401e-05,-0.006808690261095762,-0.004185573663562536,-0.00022232226911000907,0.0012057139538228512,-0.0005808800924569368,0.012379050254821777,-0.0005485148867592216,-0.0012528218794614077,0.011480037122964859,0.0009971396066248417,0.0009107394726015627,-0.005398986861109734,-0.0002632533141877502,-0.004105104133486748,-0.00011880598322022706,0.008711930364370346,-0.007164521608501673,0.008900264278054237,-0.010099406354129314,-0.009551416151225567,-0.0003078173322137445,0.008467852137982845,-0.0009716214262880385,-0.00213933689519763,0.0007041784119792283,-0.0032447767443954945,0.009378625079989433,-0.001601646770723164,-0.00041127362055704,0.025278570130467415,0.00012208131374791265,0.0003976330335717648,-0.0045403544791042805,0.0018757302314043045,-0.004011740908026695
IMVigor210-0571f1-ar-0571f17,0.0027475394308567047,-0.0062297433614730835,0.0043962993659079075,-0.0014253392582759261,-0.017809763550758362,0.0035505215637385845,0.016203196719288826,0.012054596096277237,-0.004595308564603329,6.497244612546638e-05,-0.005389572586864233,-0.008649813011288643,-0.0010277379769831896,0.002009632531553507,0.0003513502888381481,0.007324190344661474,-0.00041880281060002744,-0.0011701724724844098,0.007347650360316038,0.0006428013439290226,-0.00014571841165889055,-0.003873275825753808,-8.478765812469646e-05,-0.004639929160475731,-0.008864479139447212,0.002685382030904293,-0.0033955553080886602,0.008687210269272327,-0.02297290414571762,-0.004103049170225859,-8.962181163951755e-05,0.0007840858888812363,-0.0009238147758878767,0.0012518474832177162,-0.0007618476520292461,0.002862385008484125,0.011725427582859993,0.0013712156796827912,0.0009910828666761518,0.019484441727399826,0.00019586362759582698,0.003732022363692522,-0.002592743607237935,-0.0016177721554413438,-0.001661286223679781
IMVigor210-065890-ar-0658907,0.0648079514503479,0.045375362038612366,0.31850510835647583,0.06769423186779022,0.016649842262268066,0.030855221673846245,0.23151551187038422,-0.03162095323204994,0.11128599941730499,0.00047278983402065933,-0.1800021380186081,-0.19434316456317902,-0.022272560745477676,0.02459781803190708,-0.0032420873176306486,0.31869474053382874,-0.012468107976019382,0.0004802217590622604,0.07480502128601074,-0.00722922571003437,0.04092059284448624,-0.10786023736000061,0.0035406844690442085,-0.038977254182100296,-0.4214453399181366,0.05770095810294151,-0.08099273592233658,0.12840718030929565,-0.0832711011171341,-0.024737907573580742,-0.01503605954349041,-0.09885164350271225,-0.05831564590334892,-0.08021529018878937,-0.009506030939519405,-0.05826666206121445,0.11316130310297012,0.09559730440378189,-0.013708651065826416,0.4643958508968353,0.004109353758394718,-0.011993004940450191,-0.10600689798593521,-0.011716729030013084,0.09568189829587936
IMVigor210-0684af-ar-0684af7,-0.002131287707015872,-0.0032135113142430782,-0.009792638011276722,0.0008111365023069084,-0.003586125560104847,-0.0005514020449481905,-0.010359951294958591,0.010604264214634895,-0.005622504279017448,8.270581747638062e-05,0.0023206404875963926,0.010641656816005707,0.0028883502818644047,0.00010271352948620915,0.0005642120959237218,-0.006827323231846094,0.000390891102142632,-0.0018078988650813699,0.0024363503325730562,0.00011956224625464529,0.0014395634643733501,0.004495944827795029,0.00038694689283147454,0.0005143380840308964,0.015251297503709793,-0.003888523206114769,0.0028232394251972437,-0.0002707913226913661,0.0015680174110457301,0.003073994070291519,0.00041455408791080117,0.0039158775471150875,0.0009867517510429025,0.0031400155276060104,-0.0006363882566802204,0.0028549288399517536,-0.011154166422784328,-0.002022933214902878,0.00021950232621748,-0.012642153538763523,-8.184920443454757e-05,0.0013691833009943366,0.0025888935197144747,-0.00019755201356019825,-0.003349119797348976
IMVigor210-075e03-ar-075e037,0.050546400249004364,0.04929685592651367,0.23992706835269928,-0.007884496822953224,0.13292630016803741,0.0051048314198851585,0.20015424489974976,-0.24393798410892487,0.18049465119838715,-0.0007951260777190328,-0.10083776712417603,-0.08723410964012146,-0.06120698153972626,0.001466988935135305,0.008267480880022049,0.1584533005952835,-0.009504330344498158,0.035066697746515274,-0.028115322813391685,0.002183137461543083,0.014526935294270515,-0.0690428763628006,-0.011375685222446918,0.009542740881443024,-0.32740625739097595,0.12911134958267212,-0.05249378830194473,0.06754545867443085,0.13926443457603455,-0.10339421778917313,-0.010902147740125656,-0.2226424664258957,-0.019008271396160126,0.03028068318963051,0.010654297657310963,-0.05740020051598549,0.09845065325498581,0.0524427592754364,-0.0071760076098144054,0.3040485382080078,0.00232131639495492,-0.03376297280192375,-0.011265205219388008,0.008899937383830547,0.0633235052227974
IMVigor210-07a93a-ar-07a93a2,0.04994530230760574,0.09414654970169067,0.21725818514823914,0.08756136894226074,-0.204037606716156,0.02028363198041916,0.33318641781806946,-0.21683044731616974,-0.01305645052343607,-0.0008445010171271861,0.009560353122651577,-0.13136927783489227,0.027576716616749763,-0.005338980350643396,0.0012159639736637473,0.22465276718139648,-0.009007763117551804,0.02686241641640663,0.05250895395874977,-0.007458872627466917,0.028653403744101524,-0.09355349838733673,0.011867539957165718,-0.01420977246016264,-0.1776176542043686,0.07757815718650818,-0.03906746208667755,0.015512684360146523,-0.08441298454999924,-0.044773612171411514,-0.01097846683114767,-0.01861785165965557,-0.011630021966993809,0.04477782920002937,-0.002087739994749427,-0.02744034305214882,0.24370820820331573,-0.01124651450663805,0.00030023985891602933,0.4444730281829834,0.003308040089905262,-0.028250036761164665,-0.07968783378601074,0.00840306282043457,0.06267629563808441
IMVigor210-08cce2-ar-08cce2f,0.0002278803294757381,0.0002730835403781384,0.0008192730019800365,5.839448203914799e-05,-0.0007249503978528082,8.455460920231417e-05,0.000987432082183659,-0.0011924621649086475,0.000506648444570601,-9.0495050244499e-06,-0.00039049566839821637,-0.000956846633926034,-0.00023546710144728422,-1.9171752683178056e-06,-2.3271534246305237e-06,0.0008431553724221885,3.694946826726664e-06,0.0002391874004388228,-0.0005220336024649441,-4.84685406263452e-05,0.00013011175906285644,-0.00033258774783462286,5.714775397791527e-05,-0.0002003298286581412,-0.0007875669398345053,0.000605591747444123,-0.0001490050199208781,0.0004935474717058241,-0.0004138327785767615,-0.00023329936084337533,-4.5355558540904894e-05,-0.0009462800226174295,-7.105188706191257e-05,-0.00024602009216323495,1.6644880815874785e-05,0.00025969711714424193,0.0009837354300543666,0.00015801354311406612,-3.8429894630098715e-05,0.0010649512987583876,1.4776748685108032e-05,-0.00011230370728299022,-0.000124489888548851,1.4864064723951742e-05,8.210972737288103e-05
IMVigor210-09c84e-ar-09c84ec,-0.0010772437090054154,0.0019686627201735973,-0.004444863647222519,0.00043440129957161844,0.00012490410881582648,-3.7168410926824436e-05,-0.005778817925602198,0.005448261275887489,-0.0032675662077963352,4.870073826168664e-05,0.0016094777965918183,0.0035086707212030888,0.001510321511887014,-4.850833192904247e-06,0.0006496211281046271,-0.004210074432194233,0.00025249263853766024,-0.0012830618070438504,0.0022774427197873592,-0.0001661911519477144,0.0007345543708652258,0.0020431294105947018,-3.354292857693508e-05,-0.0007691046339459717,0.0019317485857754946,-0.0035723415203392506,0.0014649562072008848,-0.0003965944633819163,-0.0036218042951077223,0.002735841553658247,0.00019134092144668102,0.00289405370131135,9.172123827738687e-05,0.0011627816129475832,-0.0001682969304965809,0.0014048131415620446,-0.006215204484760761,0.0008311174460686743,0.00011180670117028058,-0.0057419645600020885,-5.3020616178400815e-05,0.0007508033886551857,0.0016330410726368427,0.0004185328143648803,-0.001673131133429706
